ID_TYPE,ID_VALUE,START_TIME,FINISH_TIME,DURATION
TASKID,task_201307250325_0001_m_000130,1374703114716,1374703135981,21265
TASKID,task_201307250325_0001_m_000131,1374703114717,1374703135982,21265
TASKID,task_201307250325_0001_m_000107,1374703111710,1374703132991,21281
TASKID,task_201307250325_0001_m_000106,1374703111709,1374703132990,21281
TASKID,task_201307250325_0001_m_000105,1374703111709,1374703132989,21280
TASKID,task_201307250325_0001_m_000104,1374703111709,1374703132989,21280
TASKID,task_201307250325_0001_m_000103,1374703111708,1374703132988,21280
TASKID,task_201307250325_0001_m_000102,1374703111708,1374703132987,21279
TASKID,task_201307250325_0001_m_000101,1374703111707,1374703132987,21280
TASKID,task_201307250325_0001_m_000100,1374703111707,1374703132986,21279
TASKID,task_201307250325_0001_m_000109,1374703111711,1374703132992,21281
TASKID,task_201307250325_0001_m_000108,1374703111710,1374703132992,21282
TASKID,task_201307250325_0001_m_000172,1374703133004,1374703154264,21260
TASKID,task_201307250325_0001_m_000173,1374703133004,1374703154266,21262
TASKID,task_201307250325_0001_m_000079,1374703093323,1374703114713,21390
TASKID,task_201307250325_0001_m_000078,1374703093323,1374703114712,21389
TASKID,task_201307250325_0001_m_000176,1374703133005,1374703157502,24497
TASKID,task_201307250325_0001_m_000177,1374703133005,1374703154269,21264
TASKID,task_201307250325_0001_m_000174,1374703133004,1374703154267,21263
TASKID,task_201307250325_0001_m_000175,1374703133005,1374703154268,21263
TASKID,task_201307250325_0001_m_000073,1374703093320,1374703114710,21390
TASKID,task_201307250325_0001_m_000072,1374703093320,1374703114709,21389
TASKID,task_201307250325_0001_m_000071,1374703093319,1374703114708,21389
TASKID,task_201307250325_0001_m_000070,1374703093319,1374703114707,21388
TASKID,task_201307250325_0001_m_000077,1374703093322,1374703114712,21390
TASKID,task_201307250325_0001_m_000076,1374703093322,1374703108576,15254
TASKID,task_201307250325_0001_m_000075,1374703093321,1374703114711,21390
TASKID,task_201307250325_0001_m_000074,1374703093321,1374703114710,21389
TASKID,task_201307250325_0001_m_000198,1374703133013,1374703154281,21268
TASKID,task_201307250325_0001_m_000199,1374703133013,1374703154281,21268
TASKID,task_201307250325_0001_r_000038,1374703176375,1374704530993,1354618
TASKID,task_201307250325_0001_r_000039,1374703176594,1374704497003,1320409
TASKID,task_201307250325_0001_m_000194,1374703133012,1374703154279,21267
TASKID,task_201307250325_0001_m_000195,1374703133012,1374703154279,21267
TASKID,task_201307250325_0001_m_000196,1374703133012,1374703154280,21268
TASKID,task_201307250325_0001_m_000197,1374703133013,1374703154280,21267
TASKID,task_201307250325_0001_m_000190,1374703133010,1374703154277,21267
TASKID,task_201307250325_0001_m_000191,1374703133010,1374703154277,21267
TASKID,task_201307250325_0001_m_000192,1374703133011,1374703154278,21267
TASKID,task_201307250325_0001_m_000193,1374703133011,1374703154278,21267
TASKID,task_201307250325_0001_m_000208,1374703136002,1374703157285,21283
TASKID,task_201307250325_0001_m_000209,1374703136003,1374703157286,21283
TASKID,task_201307250325_0001_m_000204,1374703133015,1374703154284,21269
TASKID,task_201307250325_0001_m_000205,1374703133016,1374703154285,21269
TASKID,task_201307250325_0001_m_000206,1374703136001,1374703157283,21282
TASKID,task_201307250325_0001_m_000207,1374703136002,1374703157284,21282
TASKID,task_201307250325_0001_m_000200,1374703133014,1374703154282,21268
TASKID,task_201307250325_0001_m_000201,1374703133014,1374703154282,21268
TASKID,task_201307250325_0001_m_000202,1374703133014,1374703154283,21269
TASKID,task_201307250325_0001_m_000203,1374703133015,1374703154283,21268
TASKID,task_201307250325_0001_m_000297,1374703157307,1374703179694,22387
TASKID,task_201307250325_0001_m_000296,1374703157307,1374703179693,22386
TASKID,task_201307250325_0001_m_000295,1374703157307,1374703179691,22384
TASKID,task_201307250325_0001_m_000294,1374703157306,1374703183302,25996
TASKID,task_201307250325_0001_m_000293,1374703157306,1374703176590,19284
TASKID,task_201307250325_0001_m_000292,1374703157306,1374703179690,22384
TASKID,task_201307250325_0001_m_000291,1374703157306,1374703179689,22383
TASKID,task_201307250325_0001_m_000290,1374703157305,1374703179688,22383
TASKID,task_201307250325_0001_m_000299,1374703157308,1374703176591,19283
TASKID,task_201307250325_0001_m_000298,1374703157308,1374703179695,22387
TASKID,task_201307250325_0001_m_000024,1374703090381,1374703111689,21308
TASKID,task_201307250325_0001_m_000025,1374703090382,1374703111690,21308
TASKID,task_201307250325_0001_m_000026,1374703090382,1374703111691,21309
TASKID,task_201307250325_0001_m_000027,1374703090383,1374703111691,21308
TASKID,task_201307250325_0001_m_000020,1374703090378,1374703111686,21308
TASKID,task_201307250325_0001_m_000021,1374703090379,1374703111687,21308
TASKID,task_201307250325_0001_m_000022,1374703090380,1374703111688,21308
TASKID,task_201307250325_0001_m_000023,1374703090380,1374703111688,21308
